repo_name,description,stars,forks,watchers,open_issues,language,created_at,updated_at,pushed_at,size,license,topics,has_wiki,has_discussions,scraped_at,avg_weekly_commits_4w
pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,100769,28023,100769,18388,Python,2016-08-13T05:26:41Z,2026-06-15T10:47:40Z,2026-06-15T10:45:45Z,1415869,Other,"autograd, deep-learning, gpu, machine-learning, neural-network, numpy, python, tensor",True,False,2026-06-15T15:46:48.440607,
qax-os/excelize,Go language library for reading and writing Microsoft Excel™ (XLAM / XLSM / XLSX / XLTM / XLTX) spreadsheets,20666,1909,20666,126,Go,2016-08-29T12:32:12Z,2026-06-15T07:46:22Z,2026-06-11T02:27:26Z,8025,"BSD 3-Clause ""New"" or ""Revised"" License","agent, ai, analytics, chart, ecma-376, excel, excelize, formula, go, mcp, microsoft, office, ooxml, spreadsheet, statistics, table, vba, visualization, xlsx, xml",True,True,2026-06-15T15:46:50.692959,
sickn33/antigravity-awesome-skills,"Installable GitHub library of 1,500+ agentic skills for Claude Code, Cursor, Codex CLI, Gemini CLI, Antigravity, and more. Includes specialized plugins, installer CLI, bundles, workflows, and official/community skill collections.",40766,6575,40766,1,Python,2026-01-14T17:48:09Z,2026-06-15T10:29:06Z,2026-06-15T09:11:46Z,60793,MIT License,"agent-skills, agentic-skills, ai-agent-skills, ai-agents, ai-coding, ai-workflows, antigravity, antigravity-skills, claude-code, claude-code-skills, codex-cli, codex-skills, cursor, cursor-skills, developer-tools, gemini-cli, gemini-skills, kiro, mcp, skill-library",True,True,2026-06-15T15:46:52.945287,
microsoft/qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.",44439,7023,44439,424,Python,2020-08-14T06:46:00Z,2026-06-15T10:49:42Z,2026-04-22T07:08:01Z,17997,MIT License,"algorithmic-trading, auto-quant, deep-learning, finance, fintech, investment, machine-learning, paper, platform, python, quant, quant-dataset, quant-models, quantitative-finance, quantitative-trading, research, research-paper, stock-data",True,False,2026-06-15T15:46:55.300963,
ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,56496,13702,56496,837,Python,2017-03-03T21:52:39Z,2026-06-15T10:25:05Z,2024-08-21T06:22:36Z,103959,MIT License,"face-detection, face-recognition, machine-learning, python",True,False,2026-06-15T15:46:57.554098,
bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",82768,19538,82768,47,Python,2019-10-03T17:31:21Z,2026-06-15T10:19:00Z,2025-12-27T14:22:30Z,8007,Other,"ansible, aws, azure, coding, containers, devops, docker, git, interview, interview-questions, kubernetes, linux, openstack, production-engineer, prometheus, python, sql, sre, terraform",True,True,2026-06-15T15:46:59.645916,
appsmithorg/appsmith,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.",40046,4607,40046,4462,TypeScript,2020-06-30T04:07:36Z,2026-06-15T06:39:21Z,2026-06-13T23:25:02Z,802402,Apache License 2.0,"admin-dashboard, admin-panels, app-builder, automation, crud, custom-internal, developer-tools, gui, gui-application, hacktoberfest, internal-tools, java, javascript, low-code, low-code-framework, react, self-hosted, typescript, webdevelopment, workflows",True,False,2026-06-15T15:47:01.858072,
dataease/dataease,🔥 人人可用的开源 BI 工具，数据可视化神器。An open-source BI tool alternative to Tableau.,24051,4137,24051,39,Java,2021-02-02T04:10:21Z,2026-06-15T10:23:10Z,2026-06-15T10:23:06Z,324119,GNU General Public License v3.0,"apache-doris, business-intelligence, data-analysis, data-visualization, echarts, kettle, superset, tableau",False,False,2026-06-15T15:47:04.210110,
pixijs/pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",47406,5032,47406,336,TypeScript,2013-01-21T22:40:50Z,2026-06-15T10:37:30Z,2026-06-15T09:53:00Z,136648,MIT License,"canvas, canvas2d, data-visualization, game, glsl, javascript, pixi, pixijs, renderer, rendering, rendering-2d-graphics, rendering-engine, webgl",True,True,2026-06-15T15:47:06.564449,
yeasy/docker_practice,"最新Docker容器技术，从真实案例中学习最佳实践！| Learn and understand Docker&Container technologies, with real DevOps practice!",26101,5791,26101,0,Go,2014-09-05T04:06:39Z,2026-06-15T05:50:12Z,2026-06-12T06:17:59Z,22236,,"book, cloud-computing, container, devops, docker, kubernetes, linux, mesos, spark, swarm, virtualization",True,False,2026-06-15T15:47:08.817932,
timescale/timescaledb,A time-series database for high-performance real-time analytics packaged as a Postgres extension,22900,1109,22900,372,C,2017-03-07T20:03:41Z,2026-06-15T10:10:41Z,2026-06-15T10:15:57Z,59663,Other,"analytics, database, financial-analysis, hacktoberfest, iot, postgres, postgresql, sql, tigerdata, time-series, time-series-database, timescaledb, tsdb",True,False,2026-06-15T15:47:11.071459,
labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",66935,6712,66935,32,Python,2020-08-25T02:29:34Z,2026-06-15T10:45:59Z,2026-01-22T04:26:00Z,156370,MIT License,"attention, deep-learning, deep-learning-tutorial, gan, literate-programming, lora, machine-learning, neural-networks, optimizers, pytorch, reinforcement-learning, transformer, transformers",True,True,2026-06-15T15:47:13.425029,
OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.",69179,6969,69179,70,Python,2020-12-20T10:46:38Z,2026-06-15T10:23:06Z,2026-06-15T06:31:18Z,2432361,Other,"ai, crypto, derivatives, economics, equity, finance, fixed-income, machine-learning, openbb, options, python, quantitative-finance, stocks",False,True,2026-06-15T15:47:15.679150,
argoproj/argo-workflows,Workflow Engine for Kubernetes,16764,3560,16764,1446,Go,2017-08-21T18:50:44Z,2026-06-15T07:02:48Z,2026-06-15T07:13:36Z,178024,Apache License 2.0,"airflow, argo, argo-workflows, batch-processing, cloud-native, cncf, dag, data-engineering, gitops, hacktoberfest, k8s, knative, kubernetes, machine-learning, mlops, pipelines, workflow, workflow-engine",False,True,2026-06-15T15:47:18.033901,
httpie/cli,"🥧 HTTPie CLI  — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",38205,3946,38205,293,Python,2012-02-25T12:39:13Z,2026-06-15T07:32:27Z,2024-12-17T17:30:35Z,6925,"BSD 3-Clause ""New"" or ""Revised"" License","api, api-client, api-testing, cli, client, curl, debugging, developer-tools, development, devops, http, http-client, httpie, json, python, rest, rest-api, terminal, usability, web",False,False,2026-06-15T15:47:20.242262,
ultralytics/ultralytics,Ultralytics YOLO 🚀,58417,11194,58417,334,Python,2022-09-11T16:39:45Z,2026-06-15T10:32:11Z,2026-06-15T10:31:04Z,57963,GNU Affero General Public License v3.0,"cli, computer-vision, deep-learning, hub, image-classification, instance-segmentation, machine-learning, object-detection, pose-estimation, python, pytorch, rotated-object-detection, segment-anything, tracking, ultralytics, yolo, yolo-world, yolo11, yolo26, yolov8",True,True,2026-06-15T15:47:22.539932,
umami-software/umami,"Umami is a modern, privacy-focused analytics platform. An open-source alternative to Google Analytics, Mixpanel and Amplitude.",37175,7300,37175,128,TypeScript,2020-07-17T07:59:00Z,2026-06-15T10:23:21Z,2026-06-15T06:09:36Z,29078,MIT License,"analytics, audience-segmentation, charts, cohort-analysis, google-analytics, product-analytics, statistics, user-journey, web-analytics",True,True,2026-06-15T15:47:24.811837,
daytonaio/daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,72428,5612,72428,469,TypeScript,2024-02-06T08:21:20Z,2026-06-15T10:10:36Z,2026-06-15T10:22:03Z,145601,GNU Affero General Public License v3.0,"agentic-workflow, ai, ai-agents, ai-runtime, ai-sandboxes, code-execution, code-interpreter, developer-tools",True,False,2026-06-15T15:47:27.172704,
huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",161597,33505,161597,2457,Python,2018-10-29T13:56:00Z,2026-06-15T09:28:06Z,2026-06-15T10:49:57Z,509644,Apache License 2.0,"audio, deep-learning, deepseek, gemma, glm, hacktoberfest, llm, machine-learning, model-hub, natural-language-processing, nlp, pretrained-models, python, pytorch, pytorch-transformers, qwen, speech-recognition, transformer, vlm",True,False,2026-06-15T15:47:29.503190,
